iter	Logloss
0	0.6866644499
1	0.6803739077
2	0.6742987064
3	0.668537006
4	0.6628618685
5	0.6573208154
6	0.6520818695
7	0.6471206332
8	0.6421737187
9	0.6374691392
10	0.6328649411
11	0.6284443816
12	0.6243572648
13	0.6204895519
14	0.6166401025
15	0.6129807745
16	0.60939504
17	0.6057581496
18	0.6024349929
19	0.5992725811
20	0.5963976394
21	0.5934241286
22	0.59035559
23	0.5874414408
24	0.5847979071
25	0.5822253639
26	0.5796553326
27	0.5770600837
28	0.5744399606
29	0.5721487328
30	0.5700805371
31	0.5680529688
32	0.5659275148
33	0.5638462954
34	0.5618886308
35	0.5599675786
36	0.5582795077
37	0.556447225
38	0.554338691
39	0.5527409808
40	0.5511416121
41	0.5493647405
42	0.5478714117
43	0.5464805395
44	0.5450196369
45	0.5435155204
46	0.5422200938
47	0.5408529182
48	0.5395736925
49	0.5383607195
50	0.5371803853
51	0.5359891346
52	0.5349939221
53	0.5339658068
54	0.532966338
55	0.5318505685
56	0.5310499014
57	0.5300319202
58	0.5291052704
59	0.5282521291
60	0.5273570498
61	0.5265758162
62	0.5258034316
63	0.5250054443
64	0.5241392541
65	0.5233873015
66	0.5226266208
67	0.5220466995
68	0.5215414888
69	0.5209029786
70	0.5203131173
71	0.5196137801
72	0.5189477691
73	0.5183005624
74	0.517824411
75	0.5172866019
76	0.5167822518
77	0.5163162236
78	0.5158013391
79	0.5152457543
80	0.5145077934
81	0.5140582029
82	0.5136512871
83	0.5132039196
84	0.5126200973
85	0.5121802715
86	0.5117020046
87	0.5113816328
88	0.5110049563
89	0.5104849003
90	0.5099492571
91	0.5096518212
92	0.5090685815
93	0.5086919891
94	0.5084314869
95	0.5081205772
96	0.5078090335
97	0.5075476933
98	0.507089395
99	0.5067871235
100	0.5065750543
101	0.5061237897
102	0.505928869
103	0.5056391106
104	0.5054647414
105	0.505043442
106	0.5048310446
107	0.5045944503
108	0.5044704752
109	0.5042997722
110	0.5040491973
111	0.5037733875
112	0.5035580203
113	0.5032686474
114	0.5028642647
115	0.5027054943
116	0.5024545149
